,Name,Ordinal_type,Postcode,Latitude,Longitude
27,Aviemore Superstore,2,PH22 1RH,57.18943664180723, -3.8299652747900836
28,Axminster Superstore,2,EX13 5NG,50.782327150248776, -3.001173418106191
29,Baildon Express,1,BD17 7HE,53.84134843061926, -1.7658221355050046
30,Baillieston Express,1,G69 6JT,55.84996797585032, -4.1161178780031245
31,Baldock Extra,3,SG7 6BN,51.98504226888139, -0.18622408021656156
32,Ballymoney Castle St Superstore,2,BT53 6JT,55.06816062200397, -6.51841452911377
33,Common St Express,1,CV7 7FE,52.39221456364103, -1.64949980532334
34,Banchory Superstore,2,AB31 5QA,57.060281591253926, -2.4664343367930996
35,Banff Superstore,2,AB45 1AF,57.66485908489458, -2.5198820000000524
36,Banstead Express,1,SM7 2NN,51.32292873334486, -0.19948040301187575
37,Barnham Inn Express,1,PO22 0ES,50.83143029063649, -0.6397958901088674
38,Barton Upon Humber Superstore,2,DN18 5JT,53.69074142200225, -0.4416900873184204
39,Bathgate Blackburn Rd Superstore,2,EH48 2ES,55.893628206513704, -3.61922392244991
40,Battle Esso Express,1,TN33 0BN,50.9104392537176, 0.49356975124965174
41,Battle Wallsend Express,1,NE28 9DT,55.00547130414519, -1.517971207680704
42,Beccles Superstore,2,NR34 9EJ,52.461370390748364, 1.5696633444719188
43,Bedale Market Place Express,1,DL8 1EQ,54.28818740360655, -1.5918365603147322
44,Bedfont Staines Express,1,TW14 8BN,51.453177807467824, -0.42973353529987435
45,Bristol St North Express,1,BS3 1HZ,51.44036418264058, -2.6090172850985183
46,Bedworth Extra,3,CV12 8SY,52.48129335064398, -1.473924752400153
47,Nottingham Beeston Extra,3,NG9 2WJ,52.92613906021034, -1.2131274222885735
48,Bellshill Extra,3,ML4 1EN,55.820112443759946, -4.021218590143589
49,Alton Manor Express,1,DE56 0HS,53.0306262905302, -1.462903618812561
50,Benfleet Rd Express,1,SS7 5TH,51.56717547249628, 0.5498984456062317
51,Benllech Anglesey Express,1,LL74 8SR,53.321902, -4.226075
52,Berkhamsted Express,1,HP4 3AP,51.760363153198995, -0.5633014440536499
53,Berwick-Upon-Tweed Superstore,2,TD15 2XG,55.76423694741416, -2.023104119049094
54,Bethesda High St Express,1,LL57 3NS,53.178581, -4.058042
55,Beverley Superstore,2,HU17 9DB,53.84413486630184, -0.4296921465197112
56,Bewdley Load St Express,1,DY12 2AW,52.376303231202066, -2.314772824756801
57,Bideford Superstore,2,EX39 4AJ,51.017991, -4.188828
58,Billericay Meadow Rise Express,1,CM11 2DN,51.626442, 0.428435
59,Billingshurst Express,1,RH14 9SX,51.01481421120174, -0.45099167173248134
60,Willenhall Rd Express,1,WV14 6NW,52.57126498822363, -2.065717550926136
61,Crossflatts Express,1,BD16 2DY,53.86438551270553, -1.8503708430444021
62,Bishop Auckland Extra,3,DL14 9AB,54.640764462881066, -1.6983159060446762
63,Elsenham Express,1,CM22 6EH,51.914160644718145, 0.2297878773155304
64,Blackwood Newport Express,1,NP12 1SL,51.66111249945224, -3.2064360249205492
65,Blairgowrie Welton Superstore,2,PH10 6NQ,56.58988191528229, -3.3350680768489838
66,Blandford Forum Superstore,2,DT11 9PU,50.85099405360087, -2.159348577260971
67,Blythe Bridge Uttoxeter Express,1,ST11 9QA,52.96679292949896, -2.0609548237885065
68,Bo Ness Superstore,2,EH51 9AN,56.017686, -3.603972
69,Bonnybridge Bridge St Express,1,FK4 1AB,56.00085849503475, -3.8872873644180572
70,Rosewell Rd Express,1,EH19 3PA,55.8705700869698, -3.1127527719045944
71,Bordon Superstore,2,GU35 0AX,51.10903930060737, -0.864318705689584
72,Borehamwood Extra,3,WD6 1JG,51.65574837597377, -0.26920574603275327
73,Boston Superstore,2,PE21 7JD,52.97096074095644, -0.061006265260890036
74,Selly Oak Bristol Rd Esso Express,1,B29 6BA,52.44669865241873, -1.930819500034886
75,Bourne End Express,1,SL8 5SS,51.57961133632594, -0.7128236502971741
76,Bow Gladstone Express,1,E3 5GS,51.53244864622542, -0.02852055819699162
77,Bowness-On-Windermere Express,1,LA23 3DB,54.36454099955126, -2.920145094394684
78,Hudders Leeds Rd Express,1,HD2 1UU,53.678052709293254, -1.7414060980081558
79,Brandon Superstore,2,IP27 0ER,52.44412376043356, 0.6182451470067463
80,Braunton Superstore,2,EX33 2FB,51.10303947335616, -4.1646122883605585
81,Brechin Esso Express,1,DD9 6AZ,56.734188146718864, -2.6603275537490845
82,Bridge Of Allan High St Express,1,FK9 4HD,56.15401043968713, -3.94492999472277
83,Brigg Superstore,2,DN20 8AT,53.55316579513251, -0.49358914801302944
84,Brighouse Bradford Rd Superstore,2,HD6 1RZ,53.70371861989434, -1.7762231826782227
85,Brixham Fore St Express,1,TQ5 8DS,50.39458133122688, -3.5147814452648163
86,Broadstone Express,1,BH18 8DP,50.759761210467374, -1.9937757860838201
87,Brockenhurst Express,1,SO42 7RB,50.81895066209451, -1.5772488713264465
88,Marlbrook Express,1,B60 1DL,52.36578987195168, -2.038895268115084
89,Buckie Superstore,2,AB56 4AB,57.666648520314396, -2.9592736704786393
90,Budleigh Salterton Express,1,EX9 6NG,50.62906990879965, -3.3242314382533777
91,Burghfield Common Express,1,RG7 3JB,51.39332302085952, -1.066536635581997
92,Burnham High St Express,1,SL1 7JT,51.534356, -0.658421
93,Burnham-On-Crouch Express,1,CM0 8HQ,51.62766644096465, 0.815160870552063
94,Burnham-On-Sea Superstore,2,TA8 1EZ,51.23626582399371, -2.984453770225959
95,Burton Upon Trent Superstore,2,DE14 3RJ,52.796703047705584, -1.6340936994345445
96,Buxton Esso Express,1,SK17 9NW,53.25054747201841, -1.9104543328285217
97,Cardiff Pengam Extra,3,CF24 2HP,51.48758143921644, -3.1274142789865778
98,Caernarfon South Rd Superstore,2,LL55 2YG,53.13360978324584, -4.27080899477005
99,Callander Highland Express,1,FK17 8AL,56.245143186753005, -4.219521570557845
100,Callington Superstore,2,PL17 7RD,50.50622777223304, -4.307402854401197
101,Frimley Balmoral Dr Express,1,GU16 8UR,51.31262844571535, -0.7255168515205157
102,Camborne Superstore,2,TR14 8DT,50.21476946434522, -5.291865381950629
103,Camden High Street Express,1,NW1 7JY,51.53825296522765, -0.14235742826745446
104,Campbeltown Superstore,2,PA28 6DL,55.42854423072031, -5.607857792659725
105,Cardigan Superstore,2,SA43 1NA,52.08876924064846, -4.646624350868147
106,Carluke Superstore,2,ML8 5AL,55.67461972775039, -3.7772385595244584
107,Carmarthen Extra,3,SA31 3AX,51.853361383385725, -4.317756336656308
108,Carnforth Superstore,2,LA5 9DW,54.12611762627418, -2.7734512341736473
109,Carrickfergus Castle Extra,3,BT38 8AU,54.716094092123605, -5.8139187402048265
110,Newport Extra,3,NP20 3BA,51.572208744193816, -3.009197665138146
111,Castle Bromwich Express,1,B34 7EH,52.50137, -1.77118
112,Castle Douglas Superstore,2,DG7 1LD,54.944736562235704, -3.9244553446769714
113,Castleford Fryston Rd Express,1,WF10 3LW,53.72425716170208, -1.314745805092059
114,Caterham Superstore,2,CR3 5QX,51.290398760679636, -0.10089484982017893
